Year,Name,Temperature,Humidity,Pressure,Wind
2021,Emilia Romagna Grand Prix,9.8,68.7,1011.7,0.2
2021,Portuguese Grand Prix,19.5,38.7,1005.4,0.8
2021,Spanish Grand Prix,22.3,55.0,994.5,0.2
2021,Monaco Grand Prix,20.7,61.3,1015.0,0.1
2021,Azerbaijan Grand Prix,25.4,48.0,1015.5,0.3
2021,French Grand Prix,23.9,63.6,960.9,0.8
2021,Styrian Grand Prix,26.6,34.1,938.7,0.4
2021,Austrian Grand Prix,19.0,58.3,935.8,0.1
2021,British Grand Prix,28.4,41.3,1007.7,0.3
2021,Hungarian Grand Prix,29.1,55.5,978.6,0.9
2021,Belgian Grand Prix,12.5,95.6,970.8,0.9
2021,Dutch Grand Prix,20.4,56.6,1021.8,0.9
2021,Italian Grand Prix,28.3,38.7,995.1,0.3
2021,Russian Grand Prix,19.1,60.5,1023.5,0.3
2021,Turkish Grand Prix,15.5,95.5,1006.5,0.7
2021,United States Grand Prix,26.4,72.5,993.4,0.8
2021,Mexico City Grand Prix,19.2,36.6,785.7,0.3
2021,S�o Paulo Grand Prix,23.9,56.7,927.1,0.3
2021,Qatar Grand Prix,27.4,69.1,1011.6,0.3
2021,Saudi Arabian Grand Prix,28.8,76.0,1013.3,0.2
2021,Abu Dhabi Grand Prix,25.6,53.5,1017.3,0.7
2022,Pre-Season Track Session,26.0,48.0,1014.5,2.9
2022,Pre-Season Test,29.7,47.0,968.2,0.8
2022,Bahrain Grand Prix,25.6,17.0,1010.2,0.5
2022,Saudi Arabian Grand Prix,25.3,64.0,1012.0,2.5
2022,Australian Grand Prix,26.0,48.0,1014.5,2.9
2022,Emilia Romagna Grand Prix,11.1,91.0,1001.7,1.7
2022,Miami Grand Prix,31.7,49.0,1010.0,3.5
2022,Spanish Grand Prix,36.3,8.0,996.9,3.2
2022,Monaco Grand Prix,24.2,68.0,1002.9,0.8
2022,Azerbaijan Grand Prix,25.7,56.0,1010.7,0.8
2022,Canadian Grand Prix,19.1,32.0,1012.7,3.9
2022,British Grand Prix,19.1,55.0,1001.9,1.2
2022,Austrian Grand Prix,20.0,36.0,939.5,1.5
2022,French Grand Prix,29.7,47.0,968.2,0.8
2022,Hungarian Grand Prix,19.0,68.0,985.2,3.4
2022,Belgian Grand Prix,20.8,48.0,971.4,1.2
2022,Dutch Grand Prix,22.7,72.0,1016.7,0.8
2022,Italian Grand Prix,26.6,38.0,994.0,0.6
2022,Singapore Grand Prix,25.2,90.0,1007.7,0.8
2022,Japanese Grand Prix,19.0,71.0,1016.0,0.0
2022,United States Grand Prix,28.5,52.0,992.7,6.0
2022,Mexico City Grand Prix,22.8,41.0,781.7,1.7
2022,S�o Paulo Grand Prix,25.1,69.0,922.4,2.7
2022,Abu Dhabi Grand Prix,29.7,59.0,1013.0,4.0
